Experiment,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
COCO20_Hibrid,snowboard,49,69,0.653,0.409,0.494,0.364
COCO20_Hibrid,kite,91,327,0.637,0.569,0.611,0.423
COCO20_Hibrid,skateboard,127,179,0.726,0.76,0.758,0.571
COCO20_Hibrid,surfboard,149,267,0.702,0.581,0.605,0.405
COCO20_Hibrid,bottle,379,1013,0.638,0.49,0.557,0.39
COCO20_Hibrid,cup,390,895,0.682,0.505,0.571,0.427
COCO20_Hibrid,fork,155,215,0.759,0.447,0.549,0.393
COCO20_Hibrid,knife,181,325,0.525,0.231,0.314,0.202
COCO20_Hibrid,spoon,153,253,0.522,0.265,0.284,0.194
COCO20_Hibrid,bowl,314,623,0.683,0.506,0.588,0.453
COCO20_Hibrid,banana,103,370,0.576,0.262,0.351,0.23
COCO20_Hibrid,apple,76,236,0.404,0.131,0.208,0.147
COCO20_Hibrid,sandwich,98,177,0.669,0.412,0.503,0.363
COCO20_Hibrid,orange,85,285,0.546,0.288,0.352,0.272
COCO20_Hibrid,broccoli,71,312,0.593,0.282,0.385,0.23
COCO20_Hibrid,carrot,81,365,0.467,0.271,0.311,0.199
COCO20_Hibrid,pizza,153,284,0.771,0.669,0.716,0.558
COCO20_Hibrid,donut,62,328,0.507,0.543,0.501,0.402
COCO20_Hibrid,cake,124,310,0.689,0.474,0.551,0.379
COCO20_Hibrid,chair,580,1771,0.636,0.44,0.506,0.335
COCO20_Hibrid,couch,195,261,0.645,0.602,0.643,0.493
COCO20_Hibrid,bed,149,163,0.682,0.619,0.68,0.52
COCO20_Hibrid,toilet,149,179,0.743,0.737,0.791,0.647
COCO20_Hibrid,tv,207,288,0.769,0.684,0.764,0.594
COCO20_Hibrid,laptop,183,231,0.741,0.72,0.774,0.656
COCO20_Hibrid,mouse,88,106,0.815,0.708,0.792,0.607
COCO20_Hibrid,remote,145,283,0.626,0.403,0.449,0.289
COCO20_Hibrid,keyboard,106,153,0.71,0.575,0.708,0.559
COCO20_Hibrid,microwave,54,55,0.644,0.691,0.721,0.605
COCO20_Hibrid,oven,115,143,0.597,0.476,0.539,0.369
COCO20_Hibrid,toaster,8,9,0.527,0.333,0.49,0.39
COCO20_Hibrid,sink,187,225,0.659,0.525,0.57,0.381
COCO20_Hibrid,refrigerator,101,126,0.823,0.659,0.725,0.599
COCO20_Hibrid,book,230,1129,0.475,0.117,0.221,0.118
COCO20_Hibrid,clock,204,267,0.738,0.676,0.721,0.505
COCO20_Hibrid,vase,137,274,0.67,0.544,0.553,0.397
COCO20_Hibrid,scissors,28,36,0.652,0.417,0.424,0.367
COCO20_Hibrid,toothbrush,34,57,0.467,0.333,0.364,0.257
COCO20_DM,all,5000,36335,0.665,0.545,0.589,0.431
COCO20_DM,person,2693,10777,0.781,0.731,0.798,0.574
COCO20_DM,bicycle,149,314,0.688,0.484,0.549,0.323
COCO20_DM,car,535,1918,0.701,0.624,0.665,0.452
COCO20_DM,motorcycle,159,367,0.746,0.659,0.712,0.465
COCO20_DM,airplane,97,143,0.795,0.825,0.88,0.7
COCO20_DM,bus,189,283,0.83,0.724,0.822,0.697
COCO20_DM,train,157,190,0.838,0.8,0.883,0.728
COCO20_DM,truck,250,414,0.614,0.491,0.537,0.38
COCO20_DM,boat,121,424,0.649,0.418,0.502,0.277
COCO20_DM,bench,235,411,0.555,0.364,0.375,0.258
COCO20_DM,bird,125,427,0.666,0.426,0.483,0.328
COCO20_DM,cat,184,202,0.819,0.856,0.882,0.716
COCO20_DM,dog,177,218,0.753,0.752,0.761,0.628
COCO20_DM,horse,128,272,0.812,0.739,0.821,0.64
COCO20_DM,sheep,65,354,0.688,0.712,0.753,0.547
COCO20_DM,cow,87,372,0.746,0.707,0.76,0.579
COCO20_DM,elephant,89,252,0.772,0.869,0.85,0.673
COCO20_DM,bear,49,71,0.805,0.815,0.834,0.7
COCO20_DM,zebra,85,266,0.828,0.857,0.911,0.726
COCO20_DM,giraffe,101,232,0.871,0.873,0.915,0.747
COCO20_DM,backpack,228,371,0.523,0.237,0.28,0.164
COCO20_DM,umbrella,174,407,0.649,0.563,0.588,0.412
COCO20_DM,handbag,292,540,0.536,0.228,0.265,0.156
COCO20_DM,tie,145,252,0.698,0.464,0.55,0.362
COCO20_DM,suitcase,105,299,0.591,0.555,0.573,0.391
COCO20_DM,frisbee,84,115,0.765,0.774,0.831,0.657
COCO20_DM,skis,120,241,0.619,0.419,0.452,0.242
COCO20_DM,snowboard,49,69,0.646,0.435,0.521,0.365
COCO20_DM,kite,91,327,0.618,0.637,0.626,0.436
COCO20_DM,skateboard,127,179,0.807,0.749,0.766,0.567
COCO20_DM,surfboard,149,267,0.691,0.578,0.619,0.398
COCO20_DM,bottle,379,1013,0.634,0.53,0.565,0.396
COCO20_DM,cup,390,895,0.623,0.531,0.57,0.425
COCO20_DM,fork,155,215,0.726,0.423,0.517,0.363
COCO20_DM,knife,181,325,0.472,0.258,0.299,0.183
COCO20_DM,spoon,153,253,0.48,0.266,0.288,0.184
COCO20_DM,bowl,314,623,0.65,0.522,0.578,0.446
COCO20_DM,banana,103,370,0.487,0.29,0.345,0.223
COCO20_DM,apple,76,236,0.493,0.181,0.244,0.161
COCO20_DM,sandwich,98,177,0.65,0.435,0.519,0.371
COCO20_DM,orange,85,285,0.468,0.337,0.348,0.269
COCO20_DM,broccoli,71,312,0.562,0.337,0.39,0.221
COCO20_DM,carrot,81,365,0.382,0.293,0.276,0.174
COCO20_DM,pizza,153,284,0.768,0.669,0.735,0.559
COCO20_DM,donut,62,328,0.493,0.552,0.477,0.381
COCO20_DM,cake,124,310,0.655,0.522,0.569,0.378
COCO20_DM,chair,580,1771,0.589,0.46,0.499,0.325
COCO20_DM,couch,195,261,0.576,0.632,0.635,0.486
COCO20_DM,bed,149,163,0.679,0.571,0.65,0.47
COCO20_DM,toilet,149,179,0.75,0.726,0.791,0.654
COCO20_DM,tv,207,288,0.786,0.689,0.749,0.583
COCO20_DM,laptop,183,231,0.714,0.727,0.782,0.643
COCO20_DM,mouse,88,106,0.777,0.717,0.78,0.603
COCO20_DM,remote,145,283,0.569,0.442,0.466,0.296
COCO20_DM,keyboard,106,153,0.639,0.595,0.671,0.519
COCO20_DM,microwave,54,55,0.613,0.719,0.722,0.599
COCO20_DM,oven,115,143,0.566,0.434,0.511,0.362
COCO20_DM,toaster,8,9,0.516,0.333,0.505,0.432
COCO20_DM,sink,187,225,0.644,0.52,0.586,0.386
COCO20_DM,refrigerator,101,126,0.745,0.659,0.709,0.563
COCO20_DM,book,230,1129,0.438,0.191,0.229,0.121
COCO20_DM,clock,204,267,0.707,0.667,0.7,0.491
COCO20_DM,vase,137,274,0.568,0.507,0.523,0.373
COCO20_DM,scissors,28,36,0.603,0.361,0.374,0.269
COCO20_DM,toothbrush,34,57,0.59,0.351,0.364,0.27
COCO20_OG,all,5000,36335,0.666,0.537,0.582,0.426
COCO20_OG,person,2693,10777,0.788,0.723,0.802,0.582
COCO20_OG,bicycle,149,314,0.697,0.477,0.539,0.321
COCO20_OG,car,535,1918,0.72,0.613,0.666,0.455
COCO20_OG,motorcycle,159,367,0.778,0.639,0.716,0.469
COCO20_OG,airplane,97,143,0.788,0.783,0.847,0.688
COCO20_OG,bus,189,283,0.819,0.721,0.82,0.703
COCO20_OG,train,157,190,0.804,0.816,0.868,0.708
COCO20_OG,truck,250,414,0.6,0.471,0.539,0.381
COCO20_OG,boat,121,424,0.646,0.383,0.498,0.276
COCO20_OG,bench,235,411,0.559,0.355,0.372,0.253
COCO20_OG,bird,125,427,0.718,0.419,0.495,0.343
COCO20_OG,cat,184,202,0.825,0.796,0.849,0.69
COCO20_OG,dog,177,218,0.722,0.711,0.748,0.618
COCO20_OG,horse,128,272,0.818,0.732,0.812,0.636
COCO20_OG,sheep,65,354,0.684,0.723,0.74,0.532
COCO20_OG,cow,87,372,0.758,0.691,0.752,0.567
COCO20_OG,elephant,89,252,0.777,0.865,0.854,0.658
COCO20_OG,bear,49,71,0.798,0.761,0.837,0.678
COCO20_OG,zebra,85,266,0.81,0.861,0.92,0.721
COCO20_OG,giraffe,101,232,0.881,0.866,0.9,0.721
COCO20_OG,backpack,228,371,0.531,0.24,0.258,0.146
COCO20_OG,umbrella,174,407,0.664,0.569,0.57,0.393
COCO20_OG,handbag,292,540,0.508,0.222,0.253,0.148
COCO20_OG,tie,145,252,0.748,0.464,0.514,0.35
COCO20_OG,suitcase,105,299,0.612,0.545,0.574,0.395
COCO20_OG,frisbee,84,115,0.783,0.774,0.831,0.665
COCO20_OG,skis,120,241,0.611,0.419,0.453,0.251
COCO20_OG,snowboard,49,69,0.617,0.391,0.45,0.334
COCO20_OG,kite,91,327,0.592,0.593,0.589,0.409
COCO20_OG,skateboard,127,179,0.77,0.754,0.768,0.567
COCO20_OG,surfboard,149,267,0.713,0.559,0.596,0.37
COCO20_OG,bottle,379,1013,0.612,0.523,0.554,0.385
COCO20_OG,cup,390,895,0.628,0.542,0.576,0.428
COCO20_OG,fork,155,215,0.642,0.433,0.499,0.354
COCO20_OG,knife,181,325,0.492,0.24,0.256,0.16
COCO20_OG,spoon,153,253,0.469,0.265,0.288,0.188
COCO20_OG,bowl,314,623,0.616,0.514,0.57,0.437
COCO20_OG,banana,103,370,0.544,0.286,0.344,0.22
COCO20_OG,apple,76,236,0.44,0.203,0.228,0.159
COCO20_OG,sandwich,98,177,0.612,0.435,0.472,0.331
COCO20_OG,orange,85,285,0.518,0.326,0.339,0.266
COCO20_OG,broccoli,71,312,0.516,0.318,0.383,0.228
COCO20_OG,carrot,81,365,0.374,0.316,0.289,0.18
COCO20_OG,pizza,153,284,0.747,0.655,0.731,0.568
COCO20_OG,donut,62,328,0.499,0.53,0.484,0.387
COCO20_OG,cake,124,310,0.632,0.509,0.531,0.353
COCO20_OG,chair,580,1771,0.623,0.445,0.498,0.322
COCO20_OG,couch,195,261,0.564,0.567,0.594,0.467
COCO20_OG,bed,149,163,0.709,0.577,0.647,0.477
COCO20_OG,toilet,149,179,0.726,0.682,0.748,0.615
COCO20_OG,tv,207,288,0.755,0.672,0.747,0.588
COCO20_OG,laptop,183,231,0.725,0.71,0.762,0.651
COCO20_OG,mouse,88,106,0.73,0.745,0.796,0.628
COCO20_OG,remote,145,283,0.603,0.442,0.494,0.315
COCO20_OG,keyboard,106,153,0.707,0.575,0.693,0.543
COCO20_OG,microwave,54,55,0.577,0.691,0.717,0.606
COCO20_OG,oven,115,143,0.608,0.503,0.53,0.344
COCO20_OG,toaster,8,9,0.608,0.333,0.491,0.329
COCO20_OG,sink,187,225,0.639,0.529,0.571,0.38
COCO20_OG,refrigerator,101,126,0.735,0.683,0.717,0.588
COCO20_OG,book,230,1129,0.421,0.157,0.211,0.111
COCO20_OG,clock,204,267,0.729,0.67,0.705,0.501
COCO20_OG,vase,137,274,0.601,0.518,0.549,0.403
COCO20_OG,scissors,28,36,0.558,0.361,0.38,0.295
COCO20_OG,toothbrush,34,57,0.578,0.312,0.335,0.248
COCO20_SegunSize,all,5000,36335,0.46,0.323,0.324,0.212
COCO20_SegunSize,person,2693,10777,0.659,0.603,0.649,0.412
COCO20_SegunSize,bicycle,149,314,0.433,0.252,0.235,0.129
COCO20_SegunSize,car,535,1918,0.546,0.41,0.421,0.251
COCO20_SegunSize,motorcycle,159,367,0.538,0.419,0.465,0.257
COCO20_SegunSize,airplane,97,143,0.509,0.601,0.583,0.41
COCO20_SegunSize,bus,189,283,0.651,0.586,0.617,0.49
COCO20_SegunSize,train,157,190,0.649,0.642,0.686,0.492
COCO20_SegunSize,truck,250,414,0.409,0.327,0.307,0.18
COCO20_SegunSize,boat,121,424,0.417,0.269,0.217,0.103
COCO20_SegunSize,bench,235,411,0.413,0.178,0.173,0.0991
COCO20_SegunSize,bird,125,427,0.535,0.178,0.209,0.124
COCO20_SegunSize,cat,184,202,0.54,0.653,0.63,0.408
COCO20_SegunSize,dog,177,218,0.446,0.454,0.389,0.279
COCO20_SegunSize,horse,128,272,0.448,0.526,0.496,0.329
COCO20_SegunSize,sheep,65,354,0.369,0.52,0.416,0.261
COCO20_SegunSize,cow,87,372,0.493,0.409,0.417,0.272
COCO20_SegunSize,elephant,89,252,0.553,0.591,0.601,0.419
COCO20_SegunSize,bear,49,71,0.482,0.63,0.565,0.441
COCO20_SegunSize,zebra,85,266,0.643,0.741,0.772,0.516
COCO20_SegunSize,giraffe,101,232,0.753,0.737,0.766,0.543
COCO20_SegunSize,backpack,228,371,0.312,0.0404,0.077,0.0359
COCO20_SegunSize,umbrella,174,407,0.419,0.356,0.309,0.179
COCO20_SegunSize,handbag,292,540,0.356,0.0296,0.0452,0.0211
COCO20_SegunSize,tie,145,252,0.456,0.21,0.223,0.117
COCO20_SegunSize,suitcase,105,299,0.395,0.123,0.135,0.077
COCO20_SegunSize,frisbee,84,115,0.513,0.487,0.501,0.359
COCO20_SegunSize,skis,120,241,0.315,0.158,0.166,0.0729
COCO20_SegunSize,snowboard,49,69,0.26,0.087,0.0977,0.0585
COCO20_SegunSize,kite,91,327,0.436,0.394,0.369,0.225
COCO20_SegunSize,skateboard,127,179,0.513,0.382,0.366,0.199
COCO20_SegunSize,surfboard,149,267,0.397,0.255,0.221,0.107
COCO20_SegunSize,bottle,379,1013,0.497,0.259,0.283,0.168
COCO20_SegunSize,cup,390,895,0.433,0.313,0.312,0.21
COCO20_SegunSize,fork,155,215,0.335,0.0791,0.0967,0.0457
COCO20_SegunSize,knife,181,325,0.25,0.0431,0.0442,0.0215
COCO20_SegunSize,spoon,153,253,0.186,0.0198,0.033,0.0164
COCO20_SegunSize,bowl,314,623,0.435,0.387,0.353,0.25
COCO20_SegunSize,banana,103,370,0.373,0.151,0.152,0.0793
COCO20_SegunSize,apple,76,236,0.241,0.11,0.0889,0.0553
COCO20_SegunSize,sandwich,98,177,0.357,0.322,0.264,0.171
COCO20_SegunSize,orange,85,285,0.385,0.281,0.213,0.164
COCO20_SegunSize,broccoli,71,312,0.375,0.269,0.271,0.141
COCO20_SegunSize,carrot,81,365,0.253,0.208,0.134,0.0736
COCO20_SegunSize,pizza,153,284,0.559,0.517,0.511,0.362
COCO20_SegunSize,donut,62,328,0.405,0.32,0.3,0.232
COCO20_SegunSize,cake,124,310,0.446,0.195,0.235,0.147
COCO20_SegunSize,chair,580,1771,0.387,0.195,0.203,0.118
COCO20_SegunSize,couch,195,261,0.425,0.444,0.396,0.268
COCO20_SegunSize,bed,149,163,0.485,0.462,0.451,0.304
COCO20_SegunSize,toilet,149,179,0.494,0.581,0.558,0.441
COCO20_SegunSize,tv,207,288,0.525,0.528,0.531,0.39
COCO20_SegunSize,laptop,183,231,0.519,0.442,0.475,0.363
COCO20_SegunSize,mouse,88,106,0.553,0.472,0.491,0.362
COCO20_SegunSize,remote,145,283,0.32,0.0671,0.0712,0.0394
COCO20_SegunSize,keyboard,106,153,0.406,0.451,0.447,0.268
COCO20_SegunSize,microwave,54,55,0.482,0.322,0.365,0.258
COCO20_SegunSize,oven,115,143,0.464,0.266,0.29,0.156
COCO20_SegunSize,toaster,8,9,1.0,0.0,0.156,0.0699
COCO20_SegunSize,sink,187,225,0.453,0.373,0.348,0.199
COCO20_SegunSize,refrigerator,101,126,0.468,0.389,0.399,0.281
COCO20_SegunSize,book,230,1129,0.242,0.0629,0.072,0.0288
COCO20_SegunSize,clock,204,267,0.474,0.532,0.514,0.319
COCO20_SegunSize,vase,137,274,0.42,0.203,0.208,0.129
COCO20_SegunSize,scissors,28,36,0.611,0.0833,0.117,0.0667
COCO20_SegunSize,toothbrush,34,57,0.0,0.0,0.0107,0.00457
