Experiment,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
coco_20_DA_DM_segun_size,zebra,85,266,0.643,0.741,0.772,0.516
coco_20_DA_DM_segun_size,giraffe,101,232,0.753,0.737,0.766,0.543
coco_20_DA_DM_segun_size,backpack,228,371,0.312,0.0404,0.077,0.0359
coco_20_DA_DM_segun_size,umbrella,174,407,0.419,0.356,0.309,0.179
coco_20_DA_DM_segun_size,handbag,292,540,0.356,0.0296,0.0452,0.0211
coco_20_DA_DM_segun_size,tie,145,252,0.456,0.21,0.223,0.117
coco_20_DA_DM_segun_size,suitcase,105,299,0.395,0.123,0.135,0.077
coco_20_DA_DM_segun_size,frisbee,84,115,0.513,0.487,0.501,0.359
coco_20_DA_DM_segun_size,skis,120,241,0.315,0.158,0.166,0.0729
coco_20_DA_DM_segun_size,snowboard,49,69,0.26,0.087,0.0977,0.0585
coco_20_DA_DM_segun_size,kite,91,327,0.436,0.394,0.369,0.225
coco_20_DA_DM_segun_size,skateboard,127,179,0.513,0.382,0.366,0.199
coco_20_DA_DM_segun_size,surfboard,149,267,0.397,0.255,0.221,0.107
coco_20_DA_DM_segun_size,bottle,379,1013,0.497,0.259,0.283,0.168
coco_20_DA_DM_segun_size,cup,390,895,0.433,0.313,0.312,0.21
coco_20_DA_DM_segun_size,fork,155,215,0.335,0.0791,0.0967,0.0457
coco_20_DA_DM_segun_size,knife,181,325,0.25,0.0431,0.0442,0.0215
coco_20_DA_DM_segun_size,spoon,153,253,0.186,0.0198,0.033,0.0164
coco_20_DA_DM_segun_size,bowl,314,623,0.435,0.387,0.353,0.25
coco_20_DA_DM_segun_size,banana,103,370,0.373,0.151,0.152,0.0793
coco_20_DA_DM_segun_size,apple,76,236,0.241,0.11,0.0889,0.0553
coco_20_DA_DM_segun_size,sandwich,98,177,0.357,0.322,0.264,0.171
coco_20_DA_DM_segun_size,orange,85,285,0.385,0.281,0.213,0.164
coco_20_DA_DM_segun_size,broccoli,71,312,0.375,0.269,0.271,0.141
coco_20_DA_DM_segun_size,carrot,81,365,0.253,0.208,0.134,0.0736
coco_20_DA_DM_segun_size,pizza,153,284,0.559,0.517,0.511,0.362
coco_20_DA_DM_segun_size,donut,62,328,0.405,0.32,0.3,0.232
coco_20_DA_DM_segun_size,cake,124,310,0.446,0.195,0.235,0.147
coco_20_DA_DM_segun_size,chair,580,1771,0.387,0.195,0.203,0.118
coco_20_DA_DM_segun_size,couch,195,261,0.425,0.444,0.396,0.268
coco_20_DA_DM_segun_size,bed,149,163,0.485,0.462,0.451,0.304
coco_20_DA_DM_segun_size,toilet,149,179,0.494,0.581,0.558,0.441
coco_20_DA_DM_segun_size,tv,207,288,0.525,0.528,0.531,0.39
coco_20_DA_DM_segun_size,laptop,183,231,0.519,0.442,0.475,0.363
coco_20_DA_DM_segun_size,mouse,88,106,0.553,0.472,0.491,0.362
coco_20_DA_DM_segun_size,remote,145,283,0.32,0.0671,0.0712,0.0394
coco_20_DA_DM_segun_size,keyboard,106,153,0.406,0.451,0.447,0.268
coco_20_DA_DM_segun_size,microwave,54,55,0.482,0.322,0.365,0.258
coco_20_DA_DM_segun_size,oven,115,143,0.464,0.266,0.29,0.156
coco_20_DA_DM_segun_size,toaster,8,9,1.0,0.0,0.156,0.0699
coco_20_DA_DM_segun_size,sink,187,225,0.453,0.373,0.348,0.199
coco_20_DA_DM_segun_size,refrigerator,101,126,0.468,0.389,0.399,0.281
coco_20_DA_DM_segun_size,book,230,1129,0.242,0.0629,0.072,0.0288
coco_20_DA_DM_segun_size,clock,204,267,0.474,0.532,0.514,0.319
coco_20_DA_DM_segun_size,vase,137,274,0.42,0.203,0.208,0.129
coco_20_DA_DM_segun_size,scissors,28,36,0.611,0.0833,0.117,0.0667
coco_20_DA_DM_segun_size,toothbrush,34,57,0.0,0.0,0.0107,0.00457
coco_20_DA_DM,all,5000,36335,0.458,0.327,0.32,0.209
coco_20_DA_DM,person,2693,10777,0.655,0.609,0.653,0.412
coco_20_DA_DM,bicycle,149,314,0.495,0.226,0.236,0.129
coco_20_DA_DM,car,535,1918,0.535,0.412,0.411,0.244
coco_20_DA_DM,motorcycle,159,367,0.514,0.447,0.456,0.233
coco_20_DA_DM,airplane,97,143,0.502,0.517,0.553,0.381
coco_20_DA_DM,bus,189,283,0.646,0.573,0.597,0.476
coco_20_DA_DM,train,157,190,0.655,0.637,0.669,0.488
coco_20_DA_DM,truck,250,414,0.388,0.302,0.292,0.177
coco_20_DA_DM,boat,121,424,0.384,0.215,0.201,0.105
coco_20_DA_DM,bench,235,411,0.393,0.165,0.168,0.101
coco_20_DA_DM,bird,125,427,0.444,0.159,0.186,0.116
coco_20_DA_DM,cat,184,202,0.49,0.686,0.598,0.399
coco_20_DA_DM,dog,177,218,0.407,0.454,0.392,0.282
coco_20_DA_DM,horse,128,272,0.435,0.496,0.494,0.331
coco_20_DA_DM,sheep,65,354,0.353,0.492,0.406,0.245
coco_20_DA_DM,cow,87,372,0.513,0.465,0.432,0.278
coco_20_DA_DM,elephant,89,252,0.549,0.587,0.57,0.41
coco_20_DA_DM,bear,49,71,0.497,0.613,0.587,0.456
coco_20_DA_DM,zebra,85,266,0.651,0.771,0.79,0.538
coco_20_DA_DM,giraffe,101,232,0.743,0.737,0.772,0.545
coco_20_DA_DM,backpack,228,371,0.275,0.0512,0.0695,0.0379
coco_20_DA_DM,umbrella,174,407,0.427,0.346,0.298,0.171
coco_20_DA_DM,handbag,292,540,0.26,0.0241,0.0478,0.0233
coco_20_DA_DM,tie,145,252,0.429,0.242,0.24,0.123
coco_20_DA_DM,suitcase,105,299,0.339,0.134,0.134,0.0727
coco_20_DA_DM,frisbee,84,115,0.543,0.475,0.472,0.336
coco_20_DA_DM,skis,120,241,0.411,0.188,0.196,0.0825
coco_20_DA_DM,snowboard,49,69,0.211,0.0725,0.109,0.0584
coco_20_DA_DM,kite,91,327,0.401,0.401,0.353,0.209
coco_20_DA_DM,skateboard,127,179,0.503,0.43,0.386,0.213
coco_20_DA_DM,surfboard,149,267,0.407,0.27,0.228,0.103
coco_20_DA_DM,bottle,379,1013,0.483,0.25,0.273,0.165
coco_20_DA_DM,cup,390,895,0.418,0.322,0.306,0.206
coco_20_DA_DM,fork,155,215,0.319,0.0827,0.0863,0.0439
coco_20_DA_DM,knife,181,325,0.27,0.0585,0.0562,0.0252
coco_20_DA_DM,spoon,153,253,0.0957,0.00791,0.0313,0.0153
coco_20_DA_DM,bowl,314,623,0.417,0.374,0.333,0.238
coco_20_DA_DM,banana,103,370,0.333,0.165,0.142,0.0711
coco_20_DA_DM,apple,76,236,0.282,0.144,0.107,0.0688
coco_20_DA_DM,sandwich,98,177,0.357,0.362,0.307,0.193
coco_20_DA_DM,orange,85,285,0.314,0.246,0.212,0.164
coco_20_DA_DM,broccoli,71,312,0.353,0.292,0.274,0.138
coco_20_DA_DM,carrot,81,365,0.27,0.203,0.14,0.075
coco_20_DA_DM,pizza,153,284,0.603,0.518,0.529,0.385
coco_20_DA_DM,donut,62,328,0.36,0.274,0.249,0.188
coco_20_DA_DM,cake,124,310,0.423,0.194,0.219,0.143
coco_20_DA_DM,chair,580,1771,0.385,0.208,0.204,0.117
coco_20_DA_DM,couch,195,261,0.413,0.421,0.361,0.24
coco_20_DA_DM,bed,149,163,0.479,0.509,0.46,0.296
coco_20_DA_DM,toilet,149,179,0.508,0.609,0.592,0.453
coco_20_DA_DM,tv,207,288,0.514,0.538,0.514,0.369
coco_20_DA_DM,laptop,183,231,0.534,0.459,0.469,0.349
coco_20_DA_DM,mouse,88,106,0.588,0.471,0.497,0.361
coco_20_DA_DM,remote,145,283,0.281,0.0774,0.0828,0.0437
coco_20_DA_DM,keyboard,106,153,0.434,0.477,0.439,0.278
coco_20_DA_DM,microwave,54,55,0.494,0.4,0.399,0.295
coco_20_DA_DM,oven,115,143,0.401,0.252,0.249,0.137
coco_20_DA_DM,toaster,8,9,1.0,0.0,0.0435,0.0268
coco_20_DA_DM,sink,187,225,0.393,0.329,0.322,0.202
coco_20_DA_DM,refrigerator,101,126,0.539,0.398,0.428,0.291
coco_20_DA_DM,book,230,1129,0.199,0.0363,0.0696,0.0239
coco_20_DA_DM,clock,204,267,0.492,0.532,0.539,0.326
coco_20_DA_DM,vase,137,274,0.412,0.208,0.216,0.133
coco_20_DA_DM,scissors,28,36,0.175,0.0556,0.0697,0.0508
coco_20_DA_DM,toothbrush,34,57,1.0,0.0,0.0163,0.00728
coco_20_DA_hibrido_clasico_y_DM,all,5000,36335,0.484,0.334,0.341,0.226
coco_20_DA_hibrido_clasico_y_DM,person,2693,10777,0.661,0.603,0.649,0.414
coco_20_DA_hibrido_clasico_y_DM,bicycle,149,314,0.464,0.259,0.256,0.139
coco_20_DA_hibrido_clasico_y_DM,car,535,1918,0.534,0.436,0.433,0.257
coco_20_DA_hibrido_clasico_y_DM,motorcycle,159,367,0.529,0.455,0.479,0.26
coco_20_DA_hibrido_clasico_y_DM,airplane,97,143,0.515,0.65,0.625,0.426
coco_20_DA_hibrido_clasico_y_DM,bus,189,283,0.673,0.572,0.627,0.498
coco_20_DA_hibrido_clasico_y_DM,train,157,190,0.625,0.668,0.71,0.509
coco_20_DA_hibrido_clasico_y_DM,truck,250,414,0.38,0.304,0.298,0.183
coco_20_DA_hibrido_clasico_y_DM,boat,121,424,0.377,0.262,0.222,0.104
coco_20_DA_hibrido_clasico_y_DM,bench,235,411,0.421,0.156,0.174,0.104
coco_20_DA_hibrido_clasico_y_DM,bird,125,427,0.554,0.18,0.219,0.133
coco_20_DA_hibrido_clasico_y_DM,cat,184,202,0.509,0.688,0.627,0.439
coco_20_DA_hibrido_clasico_y_DM,dog,177,218,0.491,0.495,0.446,0.327
coco_20_DA_hibrido_clasico_y_DM,horse,128,272,0.466,0.489,0.49,0.321
coco_20_DA_hibrido_clasico_y_DM,sheep,65,354,0.402,0.505,0.442,0.286
coco_20_DA_hibrido_clasico_y_DM,cow,87,372,0.476,0.435,0.416,0.269
coco_20_DA_hibrido_clasico_y_DM,elephant,89,252,0.61,0.619,0.638,0.448
coco_20_DA_hibrido_clasico_y_DM,bear,49,71,0.42,0.648,0.61,0.48
coco_20_DA_hibrido_clasico_y_DM,zebra,85,266,0.699,0.767,0.805,0.537
coco_20_DA_hibrido_clasico_y_DM,giraffe,101,232,0.809,0.733,0.773,0.551
coco_20_DA_hibrido_clasico_y_DM,backpack,228,371,0.378,0.0606,0.0943,0.0495
coco_20_DA_hibrido_clasico_y_DM,umbrella,174,407,0.462,0.329,0.33,0.2
coco_20_DA_hibrido_clasico_y_DM,handbag,292,540,0.311,0.0278,0.0514,0.0226
coco_20_DA_hibrido_clasico_y_DM,tie,145,252,0.494,0.218,0.241,0.127
coco_20_DA_hibrido_clasico_y_DM,suitcase,105,299,0.429,0.151,0.199,0.106
coco_20_DA_hibrido_clasico_y_DM,frisbee,84,115,0.619,0.522,0.56,0.413
coco_20_DA_hibrido_clasico_y_DM,skis,120,241,0.395,0.232,0.211,0.0927
coco_20_DA_hibrido_clasico_y_DM,snowboard,49,69,0.256,0.101,0.112,0.0658
coco_20_DA_hibrido_clasico_y_DM,kite,91,327,0.469,0.422,0.397,0.243
coco_20_DA_hibrido_clasico_y_DM,skateboard,127,179,0.52,0.411,0.408,0.235
coco_20_DA_hibrido_clasico_y_DM,surfboard,149,267,0.412,0.277,0.269,0.131
coco_20_DA_hibrido_clasico_y_DM,bottle,379,1013,0.531,0.257,0.294,0.176
coco_20_DA_hibrido_clasico_y_DM,cup,390,895,0.44,0.334,0.326,0.221
coco_20_DA_hibrido_clasico_y_DM,fork,155,215,0.242,0.0465,0.0744,0.0349
coco_20_DA_hibrido_clasico_y_DM,knife,181,325,0.285,0.0431,0.0501,0.0249
coco_20_DA_hibrido_clasico_y_DM,spoon,153,253,0.31,0.0277,0.0431,0.0243
coco_20_DA_hibrido_clasico_y_DM,bowl,314,623,0.475,0.371,0.365,0.26
coco_20_DA_hibrido_clasico_y_DM,banana,103,370,0.42,0.168,0.189,0.0969
coco_20_DA_hibrido_clasico_y_DM,apple,76,236,0.23,0.102,0.0883,0.0586
coco_20_DA_hibrido_clasico_y_DM,sandwich,98,177,0.377,0.35,0.313,0.215
coco_20_DA_hibrido_clasico_y_DM,orange,85,285,0.354,0.225,0.203,0.159
coco_20_DA_hibrido_clasico_y_DM,broccoli,71,312,0.388,0.271,0.275,0.147
coco_20_DA_hibrido_clasico_y_DM,carrot,81,365,0.299,0.132,0.126,0.0735
coco_20_DA_hibrido_clasico_y_DM,pizza,153,284,0.539,0.506,0.516,0.37
coco_20_DA_hibrido_clasico_y_DM,donut,62,328,0.41,0.308,0.31,0.238
coco_20_DA_hibrido_clasico_y_DM,cake,124,310,0.389,0.223,0.244,0.161
coco_20_DA_hibrido_clasico_y_DM,chair,580,1771,0.419,0.198,0.221,0.129
coco_20_DA_hibrido_clasico_y_DM,couch,195,261,0.414,0.493,0.405,0.281
coco_20_DA_hibrido_clasico_y_DM,bed,149,163,0.478,0.546,0.511,0.34
coco_20_DA_hibrido_clasico_y_DM,toilet,149,179,0.531,0.598,0.61,0.479
coco_20_DA_hibrido_clasico_y_DM,tv,207,288,0.541,0.503,0.515,0.371
coco_20_DA_hibrido_clasico_y_DM,laptop,183,231,0.539,0.468,0.473,0.358
coco_20_DA_hibrido_clasico_y_DM,mouse,88,106,0.637,0.481,0.528,0.397
coco_20_DA_hibrido_clasico_y_DM,remote,145,283,0.308,0.0848,0.0879,0.0485
coco_20_DA_hibrido_clasico_y_DM,keyboard,106,153,0.466,0.516,0.434,0.297
coco_20_DA_hibrido_clasico_y_DM,microwave,54,55,0.577,0.455,0.432,0.319
coco_20_DA_hibrido_clasico_y_DM,oven,115,143,0.464,0.242,0.274,0.162
coco_20_DA_hibrido_clasico_y_DM,toaster,8,9,1.0,0.0,0.0927,0.065
coco_20_DA_hibrido_clasico_y_DM,sink,187,225,0.462,0.378,0.338,0.218
coco_20_DA_hibrido_clasico_y_DM,refrigerator,101,126,0.508,0.437,0.44,0.31
coco_20_DA_hibrido_clasico_y_DM,book,230,1129,0.22,0.0602,0.0803,0.0308
coco_20_DA_hibrido_clasico_y_DM,clock,204,267,0.554,0.539,0.552,0.35
coco_20_DA_hibrido_clasico_y_DM,vase,137,274,0.464,0.212,0.227,0.147
coco_20_DA_hibrido_clasico_y_DM,scissors,28,36,0.412,0.0556,0.1,0.0706
coco_20_DA_hibrido_clasico_y_DM,toothbrush,34,57,0.435,0.0351,0.0659,0.0289
coco_20,person,2693,10777,0.641,0.608,0.646,0.41
coco_20,bicycle,149,314,0.467,0.243,0.251,0.137
coco_20,car,535,1918,0.523,0.416,0.41,0.24
coco_20,motorcycle,159,367,0.554,0.45,0.468,0.248
coco_20,airplane,97,143,0.494,0.538,0.568,0.386
coco_20,bus,189,283,0.643,0.566,0.593,0.467
coco_20,train,157,190,0.641,0.621,0.651,0.47
coco_20,truck,250,414,0.391,0.302,0.281,0.174
coco_20,boat,121,424,0.368,0.222,0.211,0.1
coco_20,bench,235,411,0.403,0.165,0.174,0.101
coco_20,bird,125,427,0.518,0.164,0.186,0.11
coco_20,cat,184,202,0.503,0.649,0.591,0.412
coco_20,dog,177,218,0.435,0.459,0.431,0.319
