Experiment,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
coco_20,pizza,153,284,0.533,0.514,0.517,0.377
coco_20,donut,62,328,0.38,0.305,0.269,0.21
coco_20,cake,124,310,0.373,0.174,0.207,0.128
coco_20,chair,580,1771,0.376,0.206,0.207,0.12
coco_20,couch,195,261,0.401,0.414,0.369,0.245
coco_20,bed,149,163,0.507,0.466,0.471,0.309
coco_20,toilet,149,179,0.516,0.609,0.595,0.463
coco_20,tv,207,288,0.488,0.526,0.505,0.365
coco_20,laptop,183,231,0.483,0.446,0.457,0.34
coco_20,mouse,88,106,0.466,0.436,0.461,0.353
coco_20,remote,145,283,0.234,0.0671,0.0675,0.0394
coco_20,keyboard,106,153,0.381,0.425,0.407,0.266
coco_20,microwave,54,55,0.531,0.327,0.363,0.263
coco_20,oven,115,143,0.378,0.259,0.24,0.144
coco_20,toaster,8,9,1.0,0.0,0.0571,0.0274
coco_20,sink,187,225,0.413,0.333,0.317,0.194
coco_20,refrigerator,101,126,0.502,0.456,0.426,0.288
coco_20,book,230,1129,0.211,0.0576,0.0719,0.0267
coco_20,clock,204,267,0.516,0.519,0.533,0.335
coco_20,vase,137,274,0.354,0.179,0.199,0.122
coco_20,scissors,28,36,0.167,0.0278,0.0561,0.0396
coco_20,toothbrush,34,57,1.0,0.0,0.0204,0.00961
coco_20_DA_clasico,all,5000,36335,0.477,0.323,0.33,0.219
coco_20_DA_clasico,person,2693,10777,0.651,0.603,0.646,0.41
coco_20_DA_clasico,bicycle,149,314,0.494,0.245,0.254,0.143
coco_20_DA_clasico,car,535,1918,0.536,0.424,0.419,0.252
coco_20_DA_clasico,motorcycle,159,367,0.517,0.458,0.482,0.263
coco_20_DA_clasico,airplane,97,143,0.536,0.601,0.582,0.415
coco_20_DA_clasico,bus,189,283,0.63,0.554,0.607,0.484
coco_20_DA_clasico,train,157,190,0.618,0.668,0.685,0.485
coco_20_DA_clasico,truck,250,414,0.389,0.302,0.278,0.171
coco_20_DA_clasico,boat,121,424,0.394,0.255,0.221,0.107
coco_20_DA_clasico,bench,235,411,0.45,0.153,0.169,0.104
coco_20_DA_clasico,bird,125,427,0.564,0.17,0.231,0.138
coco_20_DA_clasico,cat,184,202,0.52,0.658,0.647,0.436
coco_20_DA_clasico,dog,177,218,0.461,0.459,0.426,0.3
coco_20_DA_clasico,horse,128,272,0.466,0.515,0.489,0.33
coco_20_DA_clasico,sheep,65,354,0.407,0.515,0.434,0.265
coco_20_DA_clasico,cow,87,372,0.457,0.446,0.419,0.275
coco_20_DA_clasico,elephant,89,252,0.61,0.601,0.626,0.442
coco_20_DA_clasico,bear,49,71,0.461,0.634,0.611,0.477
coco_20_DA_clasico,zebra,85,266,0.636,0.729,0.783,0.531
coco_20_DA_clasico,giraffe,101,232,0.765,0.728,0.76,0.534
coco_20_DA_clasico,backpack,228,371,0.32,0.0458,0.0728,0.0396
coco_20_DA_clasico,umbrella,174,407,0.443,0.332,0.318,0.181
coco_20_DA_clasico,handbag,292,540,0.375,0.0352,0.0507,0.0229
coco_20_DA_clasico,tie,145,252,0.446,0.222,0.218,0.108
coco_20_DA_clasico,suitcase,105,299,0.423,0.11,0.15,0.078
coco_20_DA_clasico,frisbee,84,115,0.686,0.455,0.532,0.382
coco_20_DA_clasico,skis,120,241,0.348,0.199,0.177,0.0822
coco_20_DA_clasico,snowboard,49,69,0.397,0.116,0.152,0.0891
coco_20_DA_clasico,kite,91,327,0.461,0.44,0.386,0.232
coco_20_DA_clasico,skateboard,127,179,0.537,0.408,0.406,0.244
coco_20_DA_clasico,surfboard,149,267,0.412,0.315,0.263,0.118
coco_20_DA_clasico,bottle,379,1013,0.526,0.237,0.281,0.169
coco_20_DA_clasico,cup,390,895,0.424,0.332,0.317,0.215
coco_20_DA_clasico,fork,155,215,0.299,0.0934,0.109,0.0558
coco_20_DA_clasico,knife,181,325,0.248,0.0523,0.0559,0.0256
coco_20_DA_clasico,spoon,153,253,0.188,0.0198,0.0316,0.0173
coco_20_DA_clasico,bowl,314,623,0.469,0.383,0.374,0.267
coco_20_DA_clasico,banana,103,370,0.389,0.133,0.146,0.0766
coco_20_DA_clasico,apple,76,236,0.365,0.117,0.119,0.0832
coco_20_DA_clasico,sandwich,98,177,0.343,0.316,0.256,0.172
coco_20_DA_clasico,orange,85,285,0.383,0.256,0.225,0.178
coco_20_DA_clasico,broccoli,71,312,0.395,0.314,0.268,0.137
coco_20_DA_clasico,carrot,81,365,0.387,0.123,0.148,0.0836
coco_20_DA_clasico,pizza,153,284,0.569,0.535,0.546,0.396
coco_20_DA_clasico,donut,62,328,0.391,0.348,0.298,0.232
coco_20_DA_clasico,cake,124,310,0.354,0.213,0.235,0.145
coco_20_DA_clasico,chair,580,1771,0.456,0.187,0.222,0.127
coco_20_DA_clasico,couch,195,261,0.435,0.451,0.395,0.274
coco_20_DA_clasico,bed,149,163,0.452,0.534,0.489,0.327
coco_20_DA_clasico,toilet,149,179,0.515,0.57,0.589,0.458
coco_20_DA_clasico,tv,207,288,0.516,0.493,0.502,0.364
coco_20_DA_clasico,laptop,183,231,0.542,0.431,0.464,0.346
coco_20_DA_clasico,mouse,88,106,0.544,0.416,0.476,0.361
coco_20_DA_clasico,remote,145,283,0.329,0.0813,0.1,0.0599
coco_20_DA_clasico,keyboard,106,153,0.433,0.451,0.436,0.289
coco_20_DA_clasico,microwave,54,55,0.521,0.364,0.36,0.26
coco_20_DA_clasico,oven,115,143,0.541,0.272,0.295,0.17
coco_20_DA_clasico,toaster,8,9,1.0,0.0,0.167,0.123
coco_20_DA_clasico,sink,187,225,0.464,0.356,0.346,0.216
coco_20_DA_clasico,refrigerator,101,126,0.474,0.397,0.396,0.28
coco_20_DA_clasico,book,230,1129,0.26,0.0552,0.0741,0.0289
coco_20_DA_clasico,clock,204,267,0.542,0.539,0.528,0.334
coco_20_DA_clasico,vase,137,274,0.514,0.201,0.24,0.149
coco_20_DA_clasico,scissors,28,36,0.136,0.0278,0.0331,0.0227
coco_20_DA_clasico,toothbrush,34,57,1.0,0.0,0.0296,0.0118
coco_20_DA_DM,all,5000,36335,0.458,0.327,0.32,0.209
coco_20_DA_DM,person,2693,10777,0.655,0.609,0.653,0.412
coco_20_DA_DM,bicycle,149,314,0.495,0.226,0.236,0.129
coco_20_DA_DM,car,535,1918,0.535,0.412,0.411,0.244
coco_20_DA_DM,motorcycle,159,367,0.514,0.447,0.456,0.233
coco_20_DA_DM,airplane,97,143,0.502,0.517,0.553,0.381
coco_20_DA_DM,bus,189,283,0.646,0.573,0.597,0.476
coco_20_DA_DM,train,157,190,0.655,0.637,0.669,0.488
coco_20_DA_DM,truck,250,414,0.388,0.302,0.292,0.177
coco_20_DA_DM,boat,121,424,0.384,0.215,0.201,0.105
coco_20_DA_DM,bench,235,411,0.393,0.165,0.168,0.101
coco_20_DA_DM,bird,125,427,0.444,0.159,0.186,0.116
coco_20_DA_DM,cat,184,202,0.49,0.686,0.598,0.399
coco_20_DA_DM,dog,177,218,0.407,0.454,0.392,0.282
coco_20_DA_DM,horse,128,272,0.435,0.496,0.494,0.331
coco_20_DA_DM,sheep,65,354,0.353,0.492,0.406,0.245
coco_20_DA_DM,cow,87,372,0.513,0.465,0.432,0.278
coco_20_DA_DM,elephant,89,252,0.549,0.587,0.57,0.41
coco_20_DA_DM,bear,49,71,0.497,0.613,0.587,0.456
coco_20_DA_DM,zebra,85,266,0.651,0.771,0.79,0.538
coco_20_DA_DM,giraffe,101,232,0.743,0.737,0.772,0.545
coco_20_DA_DM,backpack,228,371,0.275,0.0512,0.0695,0.0379
coco_20_DA_DM,umbrella,174,407,0.427,0.346,0.298,0.171
coco_20_DA_DM,handbag,292,540,0.26,0.0241,0.0478,0.0233
coco_20_DA_DM,tie,145,252,0.429,0.242,0.24,0.123
coco_20_DA_DM,suitcase,105,299,0.339,0.134,0.134,0.0727
coco_20_DA_DM,frisbee,84,115,0.543,0.475,0.472,0.336
coco_20_DA_DM,skis,120,241,0.411,0.188,0.196,0.0825
coco_20_DA_DM,snowboard,49,69,0.211,0.0725,0.109,0.0584
coco_20_DA_DM,kite,91,327,0.401,0.401,0.353,0.209
coco_20_DA_DM,skateboard,127,179,0.503,0.43,0.386,0.213
coco_20_DA_DM,surfboard,149,267,0.407,0.27,0.228,0.103
coco_20_DA_DM,bottle,379,1013,0.483,0.25,0.273,0.165
coco_20_DA_DM,cup,390,895,0.418,0.322,0.306,0.206
coco_20_DA_DM,fork,155,215,0.319,0.0827,0.0863,0.0439
coco_20_DA_DM,knife,181,325,0.27,0.0585,0.0562,0.0252
coco_20_DA_DM,spoon,153,253,0.0957,0.00791,0.0313,0.0153
coco_20_DA_DM,bowl,314,623,0.417,0.374,0.333,0.238
coco_20_DA_DM,banana,103,370,0.333,0.165,0.142,0.0711
coco_20_DA_DM,apple,76,236,0.282,0.144,0.107,0.0688
coco_20_DA_DM,sandwich,98,177,0.357,0.362,0.307,0.193
coco_20_DA_DM,orange,85,285,0.314,0.246,0.212,0.164
coco_20_DA_DM,broccoli,71,312,0.353,0.292,0.274,0.138
coco_20_DA_DM,carrot,81,365,0.27,0.203,0.14,0.075
coco_20_DA_DM,pizza,153,284,0.603,0.518,0.529,0.385
coco_20_DA_DM,donut,62,328,0.36,0.274,0.249,0.188
coco_20_DA_DM,cake,124,310,0.423,0.194,0.219,0.143
coco_20_DA_DM,chair,580,1771,0.385,0.208,0.204,0.117
coco_20_DA_DM,couch,195,261,0.413,0.421,0.361,0.24
coco_20_DA_DM,bed,149,163,0.479,0.509,0.46,0.296
coco_20_DA_DM,toilet,149,179,0.508,0.609,0.592,0.453
coco_20_DA_DM,tv,207,288,0.514,0.538,0.514,0.369
coco_20_DA_DM,laptop,183,231,0.534,0.459,0.469,0.349
coco_20_DA_DM,mouse,88,106,0.588,0.471,0.497,0.361
coco_20_DA_DM,remote,145,283,0.281,0.0774,0.0828,0.0437
coco_20_DA_DM,keyboard,106,153,0.434,0.477,0.439,0.278
coco_20_DA_DM,microwave,54,55,0.494,0.4,0.399,0.295
coco_20_DA_DM,oven,115,143,0.401,0.252,0.249,0.137
coco_20_DA_DM,toaster,8,9,1.0,0.0,0.0435,0.0268
coco_20_DA_DM,sink,187,225,0.393,0.329,0.322,0.202
coco_20_DA_DM,refrigerator,101,126,0.539,0.398,0.428,0.291
coco_20_DA_DM,book,230,1129,0.199,0.0363,0.0696,0.0239
coco_20_DA_DM,clock,204,267,0.492,0.532,0.539,0.326
coco_20_DA_DM,vase,137,274,0.412,0.208,0.216,0.133
coco_20_DA_DM,scissors,28,36,0.175,0.0556,0.0697,0.0508
coco_20_DA_DM,toothbrush,34,57,1.0,0.0,0.0163,0.00728
coco_og_finetuning_DA,person,2693,10777,0.528,0.604,0.591,0.364
coco_og_finetuning_DA,bicycle,149,314,0.601,0.172,0.264,0.152
coco_og_finetuning_DA,car,535,1918,0.693,0.287,0.371,0.232
coco_og_finetuning_DA,motorcycle,159,367,0.381,0.474,0.413,0.23
coco_og_finetuning_DA,airplane,97,143,0.46,0.629,0.62,0.439
coco_og_finetuning_DA,bus,189,283,0.474,0.572,0.539,0.397
coco_og_finetuning_DA,train,157,190,0.439,0.611,0.603,0.397
coco_og_finetuning_DA,truck,250,414,0.338,0.271,0.234,0.13
coco_og_finetuning_DA,boat,121,424,0.396,0.0957,0.136,0.0664
coco_og_finetuning_DA,bench,235,411,0.47,0.112,0.148,0.0914
coco_og_finetuning_DA,bird,125,427,0.328,0.237,0.204,0.104
coco_og_finetuning_DA,cat,184,202,0.445,0.703,0.626,0.404
coco_og_finetuning_DA,dog,177,218,0.568,0.422,0.485,0.337
coco_og_finetuning_DA,horse,128,272,0.365,0.566,0.497,0.337
coco_og_finetuning_DA,sheep,65,354,0.304,0.605,0.401,0.21
coco_og_finetuning_DA,cow,87,372,0.664,0.212,0.329,0.203
coco_og_finetuning_DA,elephant,89,252,0.447,0.639,0.577,0.374
coco_og_finetuning_DA,bear,49,71,0.566,0.577,0.599,0.427
coco_og_finetuning_DA,zebra,85,266,0.519,0.699,0.714,0.492
coco_og_finetuning_DA,giraffe,101,232,0.55,0.707,0.694,0.497
coco_og_finetuning_DA,backpack,228,371,0.299,0.0539,0.0609,0.0304
coco_og_finetuning_DA,umbrella,174,407,0.445,0.432,0.379,0.225
coco_og_finetuning_DA,handbag,292,540,0.927,0.00741,0.0668,0.0326
coco_og_finetuning_DA,tie,145,252,0.698,0.139,0.219,0.117
coco_og_finetuning_DA,suitcase,105,299,0.48,0.182,0.212,0.133
coco_og_finetuning_DA,frisbee,84,115,0.7,0.549,0.611,0.448
coco_og_finetuning_DA,skis,120,241,0.0948,0.207,0.121,0.0521
coco_og_finetuning_DA,snowboard,49,69,0.434,0.0671,0.13,0.0762
coco_og_finetuning_DA,kite,91,327,0.646,0.254,0.338,0.215
coco_og_finetuning_DA,skateboard,127,179,0.615,0.385,0.407,0.243
coco_og_finetuning_DA,surfboard,149,267,0.457,0.246,0.281,0.14
coco_og_finetuning_DA,bottle,379,1013,0.311,0.313,0.224,0.123
coco_og_finetuning_DA,cup,390,895,0.678,0.221,0.308,0.201
coco_og_finetuning_DA,fork,155,215,0.68,0.0593,0.146,0.0812
coco_og_finetuning_DA,knife,181,325,0.244,0.0246,0.0442,0.0241
coco_og_finetuning_DA,spoon,153,253,0.6,0.0356,0.0513,0.0313
coco_og_finetuning_DA,bowl,314,623,0.432,0.273,0.261,0.178
coco_og_finetuning_DA,banana,103,370,0.642,0.102,0.183,0.0952
coco_og_finetuning_DA,apple,76,236,0.167,0.125,0.0731,0.0461
coco_og_finetuning_DA,sandwich,98,177,0.571,0.203,0.254,0.171
coco_og_finetuning_DA,orange,85,285,0.317,0.306,0.241,0.173
coco_og_finetuning_DA,broccoli,71,312,0.403,0.173,0.207,0.107
coco_og_finetuning_DA,carrot,81,365,0.24,0.0466,0.103,0.0606
coco_og_finetuning_DA,pizza,153,284,0.543,0.486,0.477,0.319
coco_og_finetuning_DA,donut,62,328,0.534,0.29,0.282,0.214
coco_og_finetuning_DA,cake,124,310,0.674,0.187,0.285,0.173
coco_og_finetuning_DA,chair,580,1771,0.384,0.242,0.217,0.12
coco_og_finetuning_DA,couch,195,261,0.319,0.51,0.394,0.256
coco_og_finetuning_DA,bed,149,163,0.402,0.515,0.446,0.275
coco_og_finetuning_DA,toilet,149,179,0.666,0.559,0.547,0.394
coco_og_finetuning_DA,tv,207,288,0.808,0.41,0.508,0.358
coco_og_finetuning_DA,laptop,183,231,0.732,0.411,0.496,0.367
coco_og_finetuning_DA,mouse,88,106,0.452,0.451,0.436,0.3
coco_og_finetuning_DA,remote,145,283,0.391,0.0459,0.089,0.0534
coco_og_finetuning_DA,keyboard,106,153,0.865,0.275,0.439,0.282
coco_og_finetuning_DA,microwave,54,55,0.741,0.273,0.363,0.279
coco_og_finetuning_DA,oven,115,143,0.361,0.301,0.271,0.165
coco_og_finetuning_DA,toaster,8,9,1.0,0.0,0.575,0.346
coco_og_finetuning_DA,sink,187,225,0.586,0.258,0.305,0.192
coco_og_finetuning_DA,refrigerator,101,126,0.367,0.381,0.306,0.203
coco_og_finetuning_DA,book,230,1129,0.342,0.0257,0.0819,0.031
coco_og_finetuning_DA,clock,204,267,0.741,0.449,0.472,0.308
coco_og_finetuning_DA,vase,137,274,0.463,0.277,0.262,0.174
coco_og_finetuning_DA,scissors,28,36,1.0,0.0,0.109,0.0544
coco_og_finetuning_DA,toothbrush,34,57,0.66,0.0344,0.0636,0.0346
